id,model,brand,weight,released,operatingSystem,platform,deviceCategory
9600,HS-F21T Dual SIM TD-LTE,Hisense,150 g,2015 Dec 28,Google Android 5.1 (Lollipop),Android,Smartphone
9602,Hongmi 3 4G / Redmi 3 Dual SIM TD-LTE 2015815,Xiaomi,144 g,2016 Mar 17,Google Android 5.1.1 (Lollipop),Android,Smartphone
9603,One Touch Pixi 4 4.0 Dual SIM EMEA 4034D,Alcatel,110 g,2016 Apr.,Google Android 6.0 (Marshmallow),Android,Smartphone
9604,A7000-a Turbo Dual SIM TD-LTE,Lenovo,150 g,2015 Dec,Google Android 5.0.2 (Lollipop),Android,Smartphone
9606,Sharp Aquos Phone Serie mini WiMAX 2+ SHV33,KDDI,120 g,2016 Jan. 23,Google Android 5.1.1 (Lollipop),Android,Smartphone
9607,ZenFone 2 Deluxe Special Edition Dual SIM LTE TW ZE551ML 128GB,Asus,170 g,2016 Jan. 14,Google Android 5.0.2 (Lollipop),Android,Smartphone
9608,au GRATINA 4G WiMAX 2+ KYF31,Kyocera,130 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9609,F1 Global Dual SIM TD-LTE F1f,Oppo,134 g,2016 Jan. 21,Google Android 5.1.1 (Lollipop),Android,Smartphone
9610,Xolo Era HD Dual SIM,Lava,150 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9611,One Touch Pixi 4 4.0 EU 4034X,Alcatel,110 g,2016 Jan. 8,Google Android 6.0 (Marshmallow),Android,Smartphone
9612,A6010 Dual SIM TD-LTE,Lenovo,128 g,2015 Oct,Google Android 5.0.2 (Lollipop),Android,Smartphone
9613,Live Dual SIM G500TG,Asus,140 g,2015 Dec 28,Google Android 5.1 (Lollipop),Android,Smartphone
9615,One Touch Pixi 4 7.0 3G 9003X 8GB,Alcatel,255 g,2016 Jan.,Google Android 6.0 (Marshmallow),Android,Smartphone
9616,One Touch Pixi 4 7.0 3G 9003A 16GB,Alcatel,255 g,2016 Jan.,Google Android 6.0 (Marshmallow),Android,Smartphone
9617,One Touch Pixi 4 6.0 LTE NA 9001A 16GB / Pixi Theatre,Alcatel,186 g,2016 Jan.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9618,Desire 828 Dual SIM TD-LTE D828x,HTC,148 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9619,Cloud 4G Smart Dual SIM LTE,Intex,156 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9620,Note 3 Lite 8298-L00 TD-LTE Dual SIM,Coolpad,152 g,2016 Jan. 28,Google Android 5.1 (Lollipop),Android,Smartphone
9622,Fengshang MAX A8-930 Dual SIM TD-LTE,Coolpad,175 g,2015 Nov.,Google Android 5.1 (Lollipop),Android,Smartphone
9623,SM-J320P Galaxy J3 2016 TD-LTE,Samsung,138 g,2016 Jan. 16,Google Android 5.1.1 (Lollipop),Android,Smartphone
9624,SM-J320YZ Galaxy J3 2016 Duos TD-LTE,Samsung,138 g,2016 Mar 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9625,Hongmi Note 3 Pro / Redmi Note 3 Pro Dual SIM TD-LTE 32GB 2015112,Xiaomi,164 g,2016 Jan. 17,Google Android 5.1.1 (Lollipop),Android,Smartphone
9626,dtab Compact d-02H /  Mediapad M2 8.0 LTE,Huawei,345 g,2016 Jan. 21,Google Android 5.1.1 (Lollipop),Android,Tablet
9627,Signature Touch for Bentley TD-LTE,Vertu,226 g,2016 Jan. 28,Google Android 5.1 (Lollipop),Android,Smartphone
9629,One Touch Idol 3 5.5 LTE AM-H200,Alcatel,141 g,2016 Feb.,Google Android 5.0.2 (Lollipop),Android,Smartphone
9630,F1 Dual SIM TD-LTE F1w,Oppo,134 g,2016 Feb. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9632,Ascend Y221,Huawei,130 g,2015 Dec,Google Android 4.4.2 (KitKat),Android,Smartphone
9633,Iconia Talk 7 B1-723 3G Dual SIM,Acer,280 g,2015 Oct,Google Android 5.1 (Lollipop),Android,Tablet
9634,K4000 Pro LTE Dual SIM,Oukitel,250 g,2016 Jan. 29,Google Android 5.1.1 (Lollipop),Android,Smartphone
9635,GR3 Dual SIM LTE TAG-L23 / Enjoy 5S,Huawei,135 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9636,M372 LTE Dual SIM,InFocus,150 g,2015 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9637,TP702A Neffos C5 Max LTE Dual SIM,TP-Link,147 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9638,TP702B Neffos C5 Max LTE Dual SIM,TP-Link,147 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9639,TP702C Neffos C5 Max LTE Dual SIM,TP-Link,147 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9640,TP702E Neffos C5 Max 3G Dual SIM,TP-Link,147 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9641,PRIME X Max LTE Dual SIM,Mobiistar,164 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9642,PRIME X Grand TD-LTE Dual SIM,Mobiistar,167 g,2016 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9643,X552 ZERO 3 Dual SIM LTE 32GB,Infinix,172 g,2015 Dec,Google Android 5.1.1 (Lollipop),Android,Smartphone
9644,A6020a46 Vibe K5 Plus Dual SIM TD-LTE,Lenovo,142 g,2016 Mar 16,Google Android 5.1.1 (Lollipop),Android,Smartphone
9645,GR5 Dual SIM LTE KII-L21,Huawei,158 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9648,TP701A Neffos C5 LTE Dual SIM,TP-Link,141 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9649,LUMIX Smart Camera DMC-CM10,Panasonic,204 g,2016 Feb. 26,Google Android 5.0 (Lollipop),Android,Smart Camera
9650,Tab speed 6 LTE,Vodafone,330 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Tablet
9651,VS835 Stylo 2 V XLTE,LG,147 g,2016 Oct 19,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9652,GR5 Dual SIM TD-LTE KII-L22,Huawei,158 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9653,SM-J320A Galaxy Express Prime GoPhone / Galaxy J3 2016 LTE,Samsung,138 g,2016 Apr. 4,Google Android 5.1.1 (Lollipop),Android,Smartphone
9654,Xenium V526 LTE Dual SIM,Philips,189 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9655,Blade V Plus LTE Dual SIM,ZTE,164 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9657,Nubia Prague S Dual SIM TD-LTE,ZTE,135 g,2016 Jan. 23,Google Android 5.0.2 (Lollipop),Android,Smartphone
9659,Vivo X6S Plus A Dual SIM TD-LTE,BBK,190 g,2016 Mar,Google Android 5.1 (Lollipop),Android,Smartphone
9660,ZenFone 5000 Dual SIM TD-LTE ZC550KL 16GB / ZenFone Max,Asus,202 g,2016 Jan. 21,Google Android 5.0.2 (Lollipop),Android,Smartphone
9661,Moly X1 LTE US,Coship,135 g,2016 Feb.,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9662,Lemon K5 Note Dual SIM TD-LTE K52t38,Lenovo,165 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9663,309T TD-LTE,TCL,164.38 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9664,C1M Dual SIM TD-LTE,Hisense,139 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9665,M951 Pulp Fab 4G Dual SIM LTE,Wiko,170 g,2015 Nov.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9666,GR5 LTE KII-L03,Huawei,158 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9667,K130E K Series K4 Dual SIM LTE,LG,120 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9668,Ilium L950 LTE,LANIX,98 g,2015 Oct,Google Android 5.0.2 (Lollipop),Android,Smartphone
9669,F666 Canvas Tab Fantabulet Dual SIM,Micromax,265 g,2016 Jan. 13,Google Android 5.0 (Lollipop),Android,Tablet
9670,H961S V10 Dual SIM LTE,LG,192 g,2015 Dec,Google Android 5.1.1 (Lollipop),Android,Smartphone
9671,H221AR Kite,LG,129 g,2015 May,Google Android 4.4.2 (KitKat),Android,Smartphone
9672,K410 K Series K10 Dual SIM,LG,140 g,2016 Jan.,Google Android 5.0.2 (Lollipop),Android,Smartphone
9673,310M Dual SIM TD-LTE,TCL,168 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9674,H440AR Spirit 4G LTE,LG,124.4 g,2015 Jun,Google Android 5.0.1 (Lollipop),Android,Smartphone
9675,H635C G4 Stylus LTE / H635AR,LG,173 g,2015 Sep,Google Android 5.0.2 (Lollipop),Android,Smartphone
9676,Vivo Y51L TD-LTE Dual SIM,BBK,157 g,2016 Jan. 29,Google Android 5.0.2 (Lollipop),Android,Smartphone
9677,F1 Plus Dual SIM TD-LTE 4G X9009,Oppo,145 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9678,SM-T375S Galaxy Tab E 8.0 4G LTE,Samsung,360 g,2016 Feb. 16,Google Android 5.1.1 (Lollipop),Android,Tablet
9679,Highway Pure Swarovski Edition LTE,Wiko,98 g,2016 Jan.,Google Android 4.4.4 (KitKat),Android,Smartphone
9680,Enjoy 5 Dual SIM TD-LTE TIT-TL00 / Honor Holly 2 Plus,Huawei,160 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9681,SM-J7109 Galaxy J7 6 Duos TD-LTE CN 16GB / Galaxy J7 2016,Samsung,170 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9682,Prime Plus 4G Dual SIM LTE H522f,LG,144.65 g,2015 Sep,Google Android 5.0.2 (Lollipop),Android,Smartphone
9683,H342 Leon 4G Dual SIM LTE / H342f / H342TR,LG,136.5 g,2015 Jul,Google Android 5.0.1 (Lollipop),Android,Smartphone
9684,H442f Volt 4G Dual SIM LTE,LG,120.4 g,2015 Dec,Google Android 5.0.1 (Lollipop),Android,Smartphone
9685,H542 G4 Stylus,LG,163 g,2015 Jul,Google Android 5.0.2 (Lollipop),Android,Smartphone
9686,SM-G930A Galaxy S7 TD-LTE,Samsung,152 g,2016 Mar 11,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9687,F660L Gentle LTE Korean Army,LG,142.6 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9689,V950 Dual SIM TD-LTE,Pantech,152 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9690,GR3 Dual SIM LTE TAG-L13 / Enjoy 5S,Huawei,135 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9691,310U Dual SIM TD-LTE,TCL,167.9 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9693,D390AR F60 4G LTE,LG,139 g,2014 Nov.,Google Android 4.4.2 (KitKat),Android,Smartphone
9696,Esteem V4 Dual SIM LTE,Haier,154 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9697,K420N K Series K10 4G LTE,LG,142 g,2016 Feb. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9698,H960A V10 TD-LTE,LG,192 g,2015 Nov.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9699,GSmart Classic Pro Dual SIM,Gigabyte,134 g,2016 Feb. 28,Google Android 5.1 (Lollipop),Android,Smartphone
9700,Cobalt 5.5F Youva Dual SIM TD-LTE,iBall,158 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9701,10 TD-LTE M10h / One M10 32GB,HTC,161 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9702,GR3 4G LTE TAG-L01 / Enjoy 5S,Huawei,135 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9703,G4 H815L LTE-A,LG,155 g,2015 Jun,Google Android 5.1 (Lollipop),Android,Smartphone
9704,Eluma Windows Mobile Dual SIM,Bush Mobile,152 g,2016 Feb.,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9705,BV5000 Dual SIM LTE,Blackview,229 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9706,One Touch Idol 4 TD-LTE 6055Y,Alcatel,130 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9707,Hero 1 Dual SIM LTE,Zopo,100 g,2015 Dec,Google Android 5.1 (Lollipop),Android,Smartphone
9709,Torino S Dual SIM LTE,Coolpad,120 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9710,One Touch Idol 4 TD-LTE 6055B,Alcatel,130 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9711,Porto S Dual SIM LTE,Coolpad,125 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9712,X210 K Series K7 HSPA,LG,161 g,2016 Feb. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9713,K130 K Series K4 Dual SIM LTE,LG,120 g,2016 Feb. 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9714,SM-A310F Galaxy A3 2016 TD-LTE,Samsung,132 g,2016 Jan. 8,Google Android 5.1.1 (Lollipop),Android,Smartphone
9715,Hongmi Note 3 Pro / Redmi Note 3 Pro Dual SIM TD-LTE 16GB 2015116,Xiaomi,164 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9716,One Touch Idol 4S LTE 6070Y / Vodafone VFD 900,Alcatel,155 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9717,One Touch Pop 4S LTE 5095Y 16GB,Alcatel,150 g,2016 Jun,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9718,C1T Dual SIM TD-LTE,Hisense,139 g,2016 Jan.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9719,GR3 4G LTE TAG-L03 / Enjoy 5S,Huawei,135 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9720,Lumia 650 Dual SIM TD-LTE,Microsoft,122 g,2016 Feb. 18,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9722,One Touch Idol 4S LTE Dual SIM 6070K,Alcatel,155 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9723,One Touch Idol 4 TD-LTE Dual SIM 6055K,Alcatel,130 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9724,One Touch Idol 4S LTE 6070O,Alcatel,155 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9725,One Touch Pop 4+ Global LTE 5056X / Pop 4 Plus,Alcatel,156 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9727,One Touch Idol 4 LTE Dual SIM 6055H,Alcatel,130 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9728,SM-J120A Galaxy Express 3 GoPhone / Galaxy J1 2016 4G LTE,Samsung,131 g,2016 Apr. 3,Google Android 5.1.1 (Lollipop),Android,Smartphone
9729,A33 Mirror 5 Lite Dual SIM A33w,Oppo,142 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9730,Joy 5 Dual SIM,Oppo,135 g,2015 Jun,Google Android 5.1 (Lollipop),Android,Smartphone
9731,Vibe P1 Turbo Dual SIM TD-LTE,Lenovo,187 g,2016 Feb. 28,Google Android 5.1.1 (Lollipop),Android,Smartphone
9732,Elements 50d Oxygen Dual SIM LTE,Archos,140 g,2016 May,Google Android 5.1 (Lollipop),Android,Smartphone
9733,GR3 Dual SIM TD-LTE TAG-L22 / Enjoy 5S,Huawei,135 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9734,SM-J320R4 Galaxy J3 2016 4G LTE,Samsung,138 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9735,Funker W5.5 Pro 16GB 4G LTE,Funkertech,135 g,2016 Mar,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9736,W909 Cheonjian Dual SIM TD-LTE,GiONEE,207.7 g,2016 Feb. 28,Google Android 5.1 (Lollipop),Android,Smartphone
9737,Funker Z5 Zygnus Pro Dual SIM LTE 32GB,Funkertech,114 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9738,A71 4G LTE Dual SIM,Lava,143 g,2016 Feb.,Google Android 5.1.1 (Lollipop),Android,Smartphone
9739,Funker Z1 Zygnus Dual SIM LTE 8GB,Funkertech,135 g,2015 Oct,Google Android 5.1 (Lollipop),Android,Smartphone
9740,V800 TD-LTE,Philips,206 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9741,SM-A310N0 Galaxy A3 2016 TD-LTE / SM-A310N,Samsung,132 g,2016 Mar 8,Google Android 5.1.1 (Lollipop),Android,Smartphone
9742,Phone BIZ Dual SIM LTE VPB0511S,VAIO,167 g,2016 Apr. 22,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9743,Hongmi 3 4G / Redmi 3 Dual SIM TD-LTE 2015816,Xiaomi,144 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9744,SM-T819 Galaxy Tab S2 Plus 9.7 LTE-A,Samsung,392 g,2016 Jun,Google Android 6.0.1 (Marshmallow),Android,Tablet
9745,Y6Pro Dual SIM TIT-U02,Huawei,160 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9746,MS330 K Series K7 LTE / Tribute 5,LG,159 g,2016 Feb. 11,Google Android 5.1.1 (Lollipop),Android,Smartphone
9747,au Qua Phone WiMAX 2+ KYV37,Kyocera,132 g,2016 Feb. 6,Google Android 5.1 (Lollipop),Android,Smartphone
9748,Tab 2 A8-50LC LTE 16GB,Lenovo,360 g,2015 Jul,Google Android 5.0 (Lollipop),Android,Tablet
9749,au Qua Tab 02 WiMAX 2+  HWT31 / MediaPad T2 10.0 Pro FDR-A04L,KDDI,495 g,2016 Apr.,Google Android 5.1.1 (Lollipop),Android,Tablet
9750,Sky LTE,Oppo,133 g,2015 Aug.,Google Android 4.3 (Jelly Bean),Android,Smartphone
9752,K430dsY K Series K10 Dual SIM LTE,LG,140 g,2016 Feb. 26,Google Android 6.0 (Marshmallow),Android,Smartphone
9753,Aqua Wing TD-LTE Dual SIM,Intex,114.6 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9754,SM-J120M/DS Galaxy J1 2016 Duos 4G LTE,Samsung,131 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9755,SM-T375L Galaxy Tab E 8.0 4G LTE,Samsung,360 g,2016 Feb. 16,Google Android 5.1.1 (Lollipop),Android,Tablet
9756,K500N X Series X Screen TD-LTE,LG,120 g,2016 Mar 18,Google Android 6.0 (Marshmallow),Android,Smartphone
9757,K580 X Series X Cam Dual SIM TD-LTE,LG,118 g,2016 Jul 11,Google Android 6.0 (Marshmallow),Android,Smartphone
9758,Mediapad T1 10 TD-LTE T1-A22L,Huawei,433 g,2016 Feb.,Google Android 5.0.1 (Lollipop),Android,Tablet
9759,Elite Y LTE Dual SIM,LEAGOO,153.1 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9760,One Touch Pixi 3 8.0 4G 9023X,Alcatel,340 g,2016 Feb.,Microsoft Windows 10 Mobile,Windows (mobile-class),Tablet
9761,L33L Sunset LTE,LG,139 g,2015 Sep,Google Android 5.0.1 (Lollipop),Android,Smartphone
9762,One Touch Pixi 3 8.0 4G 9023A,Alcatel,340 g,2016 Feb.,Microsoft Windows 10 Mobile,Windows (mobile-class),Tablet
9763,One Touch Fierce XL LTE Windows 10,Alcatel,174 g,2016 Jan.,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9764,Spark LTE SL5011,verykool,156 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9765,B770 TD-LTE Dual SIM,Coolpad,163 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9766,Alfa 2 Dual SIM,LEAGOO,140.1 g,2016 Jan.,Google Android 5.1 (Lollipop),Android,Smartphone
9767,Xolo Era 4G TD-LTE Dual SIM,Lava,142 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9768,Elements 70 Oxygen,Archos,320 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Tablet
9769,K350N K Series K8 4G LTE,LG,156.9 g,2016 Mar,Google Android 6.0 (Marshmallow),Android,Smartphone
9770,Elements 80 Oxygen,Archos,390 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Tablet
9771,Elements 101b Oxygen,Archos,560 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Tablet
9772,Vivo X6S Plus D Dual SIM TD-LTE,BBK,172.5 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9773,Vivo X6S Plus L Dual SIM TD-LTE,BBK,172.5 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9774,F720L Stylus 2 4G LTE,LG,145 g,2016 Mar 11,Google Android 6.0 (Marshmallow),Android,Smartphone
9775,K120E K Series K4 4G LTE / K120EM,LG,131.6 g,2016 Feb. 11,Google Android 5.1.1 (Lollipop),Android,Smartphone
9776,5270 TD-LTE Dual SIM,Coolpad,170 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9777,Diamond 2 Plus LTE,Archos,193 g,2016 May,Google Android 6.0 (Marshmallow),Android,Smartphone
9778,Diamond 2 Note LTE,Archos,150 g,2016 May,Google Android 6.0 (Marshmallow),Android,Smartphone
9781,Pro 5 Ubuntu Edition M576 Dual SIM TD-LTE 32GB,Meizu,168 g,2016 Apr. 24,Canonical Ubuntu Touch 1.0,Linux,Smartphone
9782,CAT S60 Global LTE,Caterpillar,223 g,2016 Jul,Google Android 6.0 (Marshmallow),Android,Smartphone
9783,G5 H820 LTE-A,LG,159 g,2016 Apr. 2,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9784,Desire 530 4G LTE D530u,HTC,140 g,2016 Feb. 27,Google Android 6.0 (Marshmallow),Android,Smartphone
9785,Elite X3 Dual SIM TD-LTE EMEA APJ HSTNH-F606,Hewlett-Packard,195 g,2016 Aug. 11,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9786,Plus 10,Alcatel,465 g,2016 Jun,Microsoft Windows 10 Pro,Windows (desktop-class),Tablet
9787,iRist Smart Watch 3G EU APAC,Intex,83 g,2015 Aug.,Google Android 4.4.2 (KitKat),Android,Smartwatch
9788,Blade V7 LTE NA,ZTE,136 g,2016 May,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9789,Blade V7 Lite Dual SIM LTE,ZTE,133 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9791,SM-G930T Galaxy S7 TD-LTE US / SM-G930T1,Samsung,152 g,2016 Mar 11,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9792,SM-G935F Galaxy S7 Edge TD-LTE,Samsung,157 g,2016 Mar 11,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9793,One Touch Pop 4 LTE 5051X,Alcatel,149 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9794,SM-N920C Galaxy Note 5 LTE-A 32GB,Samsung,171 g,2015 Oct,Google Android 5.1.1 (Lollipop),Android,Smartphone
9795,SM-G935P Galaxy S7 Edge TD-LTE,Samsung,157 g,2016 Mar 12,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9796,Lumia 650 LTE NA,Microsoft,122 g,2016 May 9,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9797,SM-J120G/DS Galaxy J1 2016 Duos 4G LTE,Samsung,131 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9798,G5 F700S LTE-A,LG,159 g,2016 Mar 26,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9799,Liquid Jade 2 S58A LTE-A,Acer,150 g,2016 Jun,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9800,Toughpad FZ-F1 LTE Dual SIM LTE,Panasonic,281 g,2016 Mar,Microsoft Windows 10 Mobile,Windows (mobile-class),Smartphone
9801,Toughpad FZ-N1 LTE Dual SIM,Panasonic,281 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9802,Blade V770 Orange Neva 80 LTE / TT175S,ZTE,143 g,2016 Apr.,Google Android 6.0 (Marshmallow),Android,Smartphone
9803,SM-G930V Galaxy S7 XLTE,Samsung,152 g,2016 Mar 11,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9804,Xperia XA LTE F3111 / PP10,Sony,137.4 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9805,Xperia XA LTE Dual F3112,Sony,137.4 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9806,Xperia XA LTE F3113,Sony,137.4 g,2016 Jun 23,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9807,Xperia XA TD-LTE F3115,Sony,137.4 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9808,Xperia XA TD-LTE Dual F3116,Sony,137.4 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9809,Aqua Fish TD-LTE Dual SIM,Intex,150 g,2016 Apr.,Google Android 5.1 (Lollipop),Android,Smartphone
9810,Xperia X LTE-A F5121,Sony,153 g,2016 Jun 23,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9811,Xperia X LTE-A Dual F5122,Sony,153 g,2016 Mar,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9812,Xperia X Performance TD-LTE F8131,Sony,164.5 g,2016 Jun 27,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9813,Xperia X Performance TD-LTE Dual F8132,Sony,165 g,2016 Jul 4,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9814,Mi 4s Dual SIM TD-LTE 64GB 2015911,Xiaomi,133 g,2016 Mar 2,Google Android 5.1.1 (Lollipop),Android,Smartphone
9815,Mi5 Pro Ceramic Edition Dual SIM TD-LTE 128GB 2015628,Xiaomi,139 g,2016 Apr. 6,Google Android 6.0 (Marshmallow),Android,Smartphone
9816,Xolo Era X TD-LTE Dual SIM,Lava,142 g,2016 Feb.,Google Android 5.1 (Lollipop),Android,Smartphone
9817,Desire 630 Dual SIM TD-LTE,HTC,140 g,2016 Mar,Google Android 6.0 (Marshmallow),Android,Smartphone
9818,X3 Soul Pro Dual SIM TD-LTE,Allview,144 g,2016 Feb.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9819,Desire 825 TD-LTE D825u,HTC,155 g,2016 May 9,Google Android 6.0 (Marshmallow),Android,Smartphone
9820,Speed 7C Dual SIM LTE,Zopo,136 g,2016 Mar,Google Android 5.1.1 (Lollipop),Android,Smartphone
9821,Speed 8 ZP955 Dual SIM LTE,Zopo,136 g,2016 Apr.,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9822,Twinpad 3G,Lava,570 g,2016 Feb.,Microsoft Windows 10 Pro,Windows (desktop-class),Tablet
9823,GN9011 Elife S8 Dual SIM TD-LTE 64GB,GiONEE,147 g,2015 May 3,Google Android 6.0.1 (Marshmallow),Android,Smartphone
9824,G5 SE H840 TD-LTE,LG,156 g,2016 Mar 17,Google Android 6.0.1 (Marshmallow),Android,Smartphone
